name,goals,assists,top_speed,total_minutes,distance,rating,rank
Eguinaldo,0,1,34.32,408,52.63,4.541703470024082,D
Dani Ceballos,0,1,30.44,406,49.73,4.55729730992626,D
Nicolas Seiwald,0,1,33.78,406,46.3,4.57231178880294,D
Koke,0,1,29.43,402,60.0,4.518140186363781,D
Seedy Jatta,0,1,33.69,383,51.43,4.583198630717451,D
Charalampos Lykogiannis,0,1,32.75,371,45.39,4.627034416474809,D
Bart Nieuwkoop,0,1,33.0,353,42.58,4.665429350802028,D
Curtis Jones,0,2,32.43,352,48.31,5.02391093765853,C
Cheikh Niasse,0,1,33.76,341,42.5,4.6831758379864965,D
Alexander Schlager,0,1,27.56,336,18.92,4.793643364872024,D
Gerard Martín,0,1,33.98,327,25.55,4.7776684303522154,D
Juan Cuadrado,0,1,33.55,316,40.77,4.726991020197253,D
Tyrone Mings,0,1,33.57,312,34.81,4.7588790838559145,D
Marcus Rashford,0,2,34.32,309,17.59,5.172899487040225,C
Lukáš Sadílek,0,1,31.34,301,43.93,4.73490380814636,D
Alan Virginius,0,1,35.15,298,39.79,4.75737531419085,D
Raheem Sterling,0,2,34.23,297,34.78,5.115048291950566,C
Christian Mawissa,0,1,34.93,295,34.44,4.785143473133528,D
Jordan Lotomba,0,1,32.51,281,31.48,4.8183962522383865,D
Conor Bradley,0,1,34.89,278,35.5,4.8051481817132835,D
Samuel Chukwueze,0,1,33.4,277,35.92,4.804759365367174,D
Giovanni Reyna,0,1,26.92,275,31.38,4.827532139775985,D
Robert Andrich,0,1,33.08,273,37.74,4.802591264110218,D
Odilon Kossounou,0,1,33.22,267,32.57,4.83392056503113,D
David Raum,0,1,33.32,266,32.53,4.83554535226615,D
Lukáš Haraslín,0,1,30.6,265,31.88,4.83984035294571,D
Kevin Kampl,0,1,30.03,262,24.81,4.875137638322175,D
Matias Fernandez-Pardo,0,1,34.53,260,30.56,4.852866976100947,D
Gabriel Jesus,0,1,33.78,260,32.46,4.844549917831067,D
João Simões,0,1,32.28,235,34.53,4.871730983502061,D
Ismaily,0,1,31.65,228,20.81,4.941936737908881,D
Alex Valle,0,1,33.3,210,28.7,4.933493501979402,D
Pedro Gonçalves,0,2,31.27,200,25.23,5.297472506584413,C
Jurij Medveděv,0,1,32.65,193,24.42,4.9768735216966125,D
Jérémy Doku,0,1,33.17,192,21.46,4.991280314272712,D
Hugo Vetlesen,0,1,31.68,182,26.27,4.984721937367075,D
Hyunjun,0,1,33.37,153,21.71,5.046723924086637,C
Jonas Hofmann,0,1,31.11,131,19.13,5.089910821709062,C
Jens Odgaard,0,1,32.52,128,16.38,5.1062977430192715,C
Jan-Niklas Beste,0,2,32.88,109,15.33,5.4727306632708945,C
Federico Chiesa,0,1,32.97,107,13.76,5.1482100453338315,C
Isaac Babadi,0,1,28.74,104,15.86,5.1433665810603975,C
Martin Terrier,0,1,31.4,104,14.86,5.147743980149809,C
Noah Okafor,0,1,32.86,102,14.85,5.1506871366835885,C
Ismaël Bennacer,0,1,27.23,75,9.5,5.213247886140898,C
James Forrest,0,1,33.07,60,8.9,5.23761969466619,C
Francesco Camarda,0,1,32.23,36,7.23,5.2797225416601385,C
