name,goals,assists,top_speed,total_minutes,distance,rating,rank
Thomas Müller,3,1,31.73,0.25226586102719034,0.20290251916757948,5.669401256984205,2
Cody Gakpo,3,1,33.16,0.2515105740181269,0.26184282584884994,5.633161542095819,2
Adam Idah,3,1,34.25,0.2280966767371601,0.23726725082146768,5.693816834241538,2
Ivan Perišić,3,0,31.76,0.2243202416918429,0.1597070098576123,5.416368705231456,2
Ferran Torres,3,1,32.09,0.22356495468277948,0.13691128148959475,5.766687652520961,2
Ángel Correa,3,1,33.23,0.17220543806646527,0.18462486308871853,5.83475618732589,2
Marco Asensio,3,0,31.55,0.17069486404833836,0.1367059145673604,5.53400484644433,2
Jhon Durán,3,0,35.4,0.15332326283987915,0.13458378970427165,5.568704739405236,2
Gonçalo Ramos,3,1,30.79,0.12235649546827795,0.13253012048192775,5.963747818311547,2
Harvey Elliott,3,0,30.62,0.09969788519637462,0.11637458926615554,5.683276701255523,2
Nemanja Radonjić,3,0,34.72,0.09138972809667674,0.07194687842278205,5.727632625331673,2
Achraf Hakimi,2,5,36.55,1.0,0.8676752464403068,4.811995223833901,3
Vitinha,2,1,32.1,0.9305135951661632,0.8750684556407448,3.6034691615887984,4
Antonio Rüdiger,2,0,34.13,0.8700906344410876,0.6757940854326397,3.512578033746669,4
Youri Tielemans,2,3,31.09,0.7628398791540786,0.7085158817086529,4.700387777795163,3
Emre Can,2,1,33.52,0.6827794561933535,0.5699616648411829,4.274068576037152,3
Igor Paixão,2,4,34.11,0.668429003021148,0.7467141292442498,5.191465816856948,2
Luuk de Jong,2,1,29.47,0.6563444108761329,0.6256161007667033,4.289219515940745,3
Iñigo Martínez,2,1,31.45,0.6389728096676737,0.5178669222343921,4.391462676851264,3
Alejandro Grimaldo,2,2,32.38,0.6306646525679759,0.7175520262869661,4.614013066449342,3
Gabriel Martinelli,2,2,34.39,0.6268882175226587,0.45105421686746994,4.791673669357327,3
Johan Bakayoko,2,1,34.52,0.622356495468278,0.6343784227820374,4.348852552321235,3
Ferran Jutglà,2,2,32.92,0.6200906344410876,0.694277108433735,4.649191901153541,3
Maghnes Akliouche,2,2,33.39,0.5823262839879154,0.6378696604600219,4.757746233222438,3
Denzel Dumfries,2,1,33.48,0.5589123867069486,0.4430449069003286,4.592974923671484,3
Ramy Bensebaini,2,1,33.16,0.533987915407855,0.38841730558598025,4.675746380362603,3
Mikel Merino,2,4,29.17,0.5226586102719033,0.39396221248630886,5.696823607322797,2
Kaan Kairinen,2,0,31.21,0.5113293051359517,0.5971385542168676,4.251477703219428,3
Georgiy Sudakov,2,1,32.68,0.5030211480362538,0.5898138006571743,4.606400641281295,3
Alphonso Davies,2,0,35.6,0.5015105740181269,0.5479189485213583,4.301797189201052,3
Marcos Llorente,2,4,35.3,0.4962235649546828,0.5384036144578314,5.65519968103673,2
Enzo Millot,2,4,31.16,0.4939577039274925,0.5503148959474262,5.651932080435484,2
Noa Lang,2,2,32.93,0.49093655589123864,0.4442771084337349,5.056951723315584,2
Alexis Mac Allister,2,0,32.28,0.4818731117824774,0.5533269441401972,4.336031016977936,3
David Strelec,2,0,33.0,0.4818731117824774,0.5106106243154437,4.36334598729586,3
Leandro Trossard,2,3,32.84,0.459214501510574,0.427710843373494,5.462724579562889,2
Martin Baturina,2,1,32.97,0.44486404833836857,0.4897316538882804,4.782024443869594,3
Silas,2,0,34.45,0.44410876132930516,0.42565717415115,4.4901540735676,3
Cherif Ndiaye,2,1,34.43,0.40483383685800606,0.4105969331872947,4.909460814729665,3
Ngal'Ayel Mukau,2,0,31.73,0.40105740181268884,0.38739047097480833,4.597256136949659,3
Khvicha Kvaratskhelia,2,2,32.95,0.39652567975830816,0.20221796276013146,5.392947964047533,2
Mika Biereth,2,0,34.36,0.3919939577039275,0.41011774370208104,4.600119467230131,3
Chemsdine Talbi,2,1,35.87,0.3889728096676737,0.42901150054764514,4.928129127879452,3
Eliesse Ben Seghir,2,0,32.05,0.38368580060422963,0.40998083242059147,4.616153619197792,3
Oleksandr Zubkov,2,1,32.43,0.3783987915407855,0.4132667031763418,5.0415071764147,2
İlkay Gündoğan,2,0,31.35,0.3685800604229607,0.42059145673603504,4.638362476038065,3
Wilfried Singo,2,1,35.43,0.35649546827794565,0.31866100766703176,5.061029525872807,2
Christoph Baumgartner,2,1,31.8,0.3368580060422961,0.3248220153340635,5.094781839749855,2
Brahim Díaz,2,1,32.26,0.33459214501510576,0.3365279299014239,5.091645561121291,2
Kevin,2,0,35.31,0.3202416918429003,0.31715498357064625,4.797285217651417,3
Osame Sahraoui,2,2,33.21,0.3164652567975831,0.36130887185104055,5.444884483982579,2
Victor  Olatunji,2,1,34.08,0.2930513595166163,0.3205777656078861,5.181577920928984,2
Jamie Leweling,2,1,34.33,0.283987915407855,0.27580777656078864,5.227602406231048,2
Ayase Ueda,2,0,32.18,0.2620845921450151,0.27416484118291345,4.93640151183403,3
Karim Konaté,2,0,31.66,0.21299093655589124,0.22296002190580508,5.0633743896666195,2
Hákon Arnar Haraldsson,2,0,33.08,0.20241691842900303,0.16805859802847756,5.118776808163898,2
Tammy Abraham,2,1,33.26,0.19788519637462237,0.20221796276013146,5.439924251386719,2
Petar Sučić,2,0,31.63,0.1729607250755287,0.19845290251916758,5.15587911579319,2
Donyell Malen,2,1,31.75,0.15256797583081572,0.14971248630887188,5.560480378689081,2
Ethan Nwaneri,2,0,35.06,0.14123867069486407,0.14820646221248635,5.248896258510073,2
Bruno Petković,2,0,29.98,0.11858006042296074,0.0992606790799562,5.323685400142652,2
Felício Milson,2,0,31.97,0.10045317220543806,0.09337349397590364,5.362242553874177,2
Ricardo Pepi,2,1,31.62,0.09592145015105741,0.10679079956188392,5.696653516337913,2
George Ilenikhena,2,0,32.07,0.05664652567975831,0.04819277108433736,5.475215481607984,2
João Neves,1,1,31.74,0.925226586102719,0.9049151150054766,3.2602390234087437,4
Hans Vanaken,1,1,30.3,0.7885196374622356,0.9213444687842279,3.5121273857253406,4
Dávid Hancko,1,1,32.74,0.7885196374622356,0.7721796276013144,3.6075109118836064,4
Nicolás Otamendi,1,0,30.8,0.7885196374622356,0.7509583789704273,3.286788332010457,4
Maxim De Cuyper,1,0,31.33,0.7877643504531722,0.8542579408543265,3.222183071022688,4
Minjae Kim,1,0,34.55,0.783987915407855,0.7126232201533407,3.3199999145398165,4
Ezri Konsa,1,0,34.32,0.7205438066465257,0.5587349397590363,3.540177912870988,4
Christos Tzolis,1,4,33.24,0.68202416918429,0.7483570646221249,4.8300282811391915,3
Raphael Onyedika,1,1,29.88,0.68202416918429,0.7625958378970428,3.818045739882246,4
Pascal Gross,1,2,29.72,0.6661631419939577,0.6800383351588172,4.235573206651169,3
Benjamin Pavard,1,0,31.81,0.6185800604229608,0.46111719605695517,3.7983079455307944,4
Thilo Kehrer,1,2,32.48,0.6185800604229608,0.5854326396495072,4.387399412167738,3
Virgil van Dijk,1,0,34.92,0.6072507552870091,0.5505887185104053,3.7628407085038376,4
Leon Goretzka,1,1,32.17,0.6064954682779456,0.5381297918948522,4.106549783168332,3
Gabriel,1,0,33.28,0.5800604229607251,0.5725629791894853,3.800978143198776,4
Reo Hatate,1,2,32.18,0.56797583081571,0.6731243154435926,4.428454245019064,3
